"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"JA_TT_MN004","4271","1923","8.01","5","4"
"JA_TT_MN004","4271","1925","9","5","4"
"JA_TT_MN004","4271","1934","9.69","5","4"
"JA_TT_MN004","4271","1935","8.88","5","4"
"JA_TT_MN004","4271","1936","8.43","5","4"
"JA_TT_MN004","4271","1937","8.65","5","4"
"JA_TT_MN004","4271","1938","9.35","5","4"
"JA_TT_MN004","4271","1939","8.86","5","4"
"JA_TT_MN004","4271","1940","6.44","5","4"
"JA_TT_MN004","4271","1941","7.15","5","4"
"JA_TT_MN004","4271","1942","7.01","5","4"
"JA_TT_MN004","4271","1943","9.15","5","4"
"JA_TT_MN004","4271","1944","8.78","5","4"
"JA_TT_MN004","4271","1947","7.87","5","4"
"JA_TT_MN004","4271","1948","9.21","5","4"
"JA_TT_MN004","4271","1949","9.51","5","4"
"JA_TT_MN004","4271","1950","8.76","5","4"
"JA_TT_MN004","4271","1951","8.9","5","4"
"JA_TT_MN004","4271","1952","8.01","5","4"
"JA_TT_MN004","4271","1953","9.25","5","4"
"JA_TT_MN004","4271","1954","7.8","5","4"
"JA_TT_MN004","4271","1955","7.97","5","4"
"JA_TT_MN004","4271","1956","7.33","5","4"
"JA_TT_MN004","4271","1957","8.77","5","4"
"JA_TT_MN004","4271","1958","8.2","5","4"
"JA_TT_MN004","4271","1959","9.32","5","4"
"JA_TT_MN004","4271","1960","8.42","5","4"
"JA_TT_MN004","4271","1961","9.19","5","4"
"JA_TT_MN004","4271","1962","7.65","5","4"
"JA_TT_MN004","4271","1963","7.35","5","4"
"JA_TT_MN004","4271","1964","8.21","5","4"
"JA_TT_MN004","4271","1965","7.72","5","4"
"JA_TT_MN004","4271","1966","8.31","5","4"
"JA_TT_MN004","4271","1967","9.32","5","4"
"JA_TT_MN004","4271","1968","8.52","5","4"
"JA_TT_MN004","4271","1969","7.65","5","4"
"JA_TT_MN004","4271","1970","7.47","5","4"
"JA_TT_MN004","4271","1971","8.69","5","4"
"JA_TT_MN004","4271","1972","8.2","5","4"
"JA_TT_MN004","4271","1973","8.82","5","4"
"JA_TT_MN004","4271","1974","9","5","4"
"JA_TT_MN004","4271","1975","9.28","5","4"
"JA_TT_MN004","4271","1976","8.25","5","4"
"JA_TT_MN004","4271","1977","8.66","5","4"
"JA_TT_MN004","4271","1978","8.05","5","4"
"JA_TT_MN004","4271","1979","7.48","5","4"
"JA_TT_MN004","4271","1980","7.58","5","4"
"JA_TT_MN004","4271","1981","8.36","10","4"
"JA_TT_MN004","4271","1982","8.8","10","4"
"JA_TT_MN004","4271","1983","9.33","10","4"
"JA_TT_MN004","4271","1984","8.2","10","4"
"JA_TT_MN004","4271","1985","7.45","10","4"
"JA_TT_MN004","4271","1986","8.07","10","4"
"JA_TT_MN004","4271","1987","7.37","10","4"
"JA_TT_MN004","4271","1988","9.26","10","4"
"JA_TT_MN004","4271","1989","10.05","10","4"
"JA_TT_MN004","4271","1990","10.14","10","4"
"JA_TT_MN004","4271","1991","8.95","10","4"
"JA_TT_MN004","4271","1992","9.89","10","4"
"JA_TT_MN004","4271","1993","8.65","10","4"
"JA_TT_MN004","4271","1994","9.65","10","4"
"JA_TT_MN004","4271","1995","9.26","10","4"
"JA_TT_MN004","4271","1996","7.48","10","4"
"JA_TT_MN004","4271","1997","9.4","10","4"
"JA_TT_MN004","4271","1998","9.34","10","4"
"JA_TT_MN004","4271","1999","10.08","10","4"
"JA_TT_MN004","4271","2000","10.18","10","4"
"JA_TT_MN004","4271","2001","9.41","10","4"
"JA_TT_MN004","4271","2002","9.94","10","4"
"JA_TT_MN004","4271","2003","9.66","10","4"
"JA_TT_MN004","4271","2004","9.51","10","4"
"JA_TT_MN004","4271","2005","9.72","10","4"
"JA_TT_MN004","4271","2006","10.25","10","4"
"JA_TT_MN004","4271","2007","10.36","10","4"
"JA_TT_MN004","4271","2008","10.19","10","4"
"JA_TT_MN004","4271","2009","9.56","10","4"
"JA_TT_MN004","4271","2010","8.1","10","4"
"JA_TT_MN004","4271","2011","9.72","10","4"
"JA_TT_MN004","4271","2012","9.19","10","4"
"JA_TT_MN004","4271","2013","9.4","3","4"
"JA_TT_MN004","4271","2014","10.67","3","4"
"JA_TT_MN004","4271","2015","10.26","3","4"
"JA_TT_MN004","4271","2016","10.08","3","4"
"JA_TT_MN004","4271","2017","10.03","3","4"
"JA_TT_MN004","4271","2018","10.63","3","4"
"JA_TT_MN004","4271","2019","10.84","3","4"
"JA_TT_MN004","4271","2020","11.01","1","4"
